business_persona,industry,location,years_in_operation,monthly_revenue_avg,monthly_expenses_avg,profit_margin,revenue_growth_rate,cash_flow_variability,num_transactions_per_month,avg_transaction_value,total_debt,debt_to_income_ratio,late_payment_count,missed_payments,repayment_history_score,revenue_volatility,expense_spikes,declining_revenue_trend,cash_flow_gaps,stress_index,payment_stress,liquidity_risk,industry_risk,default_risk
stable,services,peri-urban,6,107386.15348644849,96535.98496331912,0.10103880408099909,0.20701543899182806,0.24289970497278818,580,185.1485404938767,46514.17240991811,0.43314869654762267,2,0,92,26084.065000020884,0,0,1,0.1052116906007653,1.0,0.24289970497278818,0.3,0
seasonal,retail,rural,2,76491.3830021118,41151.64045705174,0.4620094598640528,-0.07895353720352126,0.46649943010802297,248,308.4329959762573,67868.92677151352,0.8872754564999794,4,2,60,35683.186578659675,0,1,5,0.4139134948060763,5.0,2.3324971505401146,0.4,1
distressed,retail,rural,2,34865.36957192392,30919.15932992618,0.11318423669243156,-0.1270833907525255,0.6804755478754207,294,118.58969242150992,72487.68371662046,2.079074009730065,9,3,28,23725.03146133395,0,1,3,1.4147590258446139,9.0,2.041426643626262,0.4,1
growth,services,urban,6,79505.75719082968,66605.09176303427,0.16226077058584873,0.16878271173444226,0.35834119806520004,562,141.46931884489268,76001.16241495022,0.9559202389901433,2,1,80,28490.1882848428,1,0,4,0.3425456036945003,2.5,1.4333647922608002,0.3,1
stable,retail,urban,8,135555.8950344282,74393.83735233905,0.45119437754112673,0.1546953475816233,0.10316910676195044,606,223.68959576638315,48451.06757356086,0.3574250132113794,2,1,80,13985.18060701867,0,0,0,0.03687521934739635,2.5,0.0,0.4,1
stable,retail,urban,6,118614.37759341736,64330.10927900608,0.45765335885743286,0.08395770528324516,0.1465214161184678,487,243.5613502944915,48627.955984773085,0.40996679299248584,0,0,100,17379.546576998167,0,0,0,0.06006891507080577,0.0,0.0,0.4,0
stable,retail,urban,17,115872.01885118916,103648.72042310034,0.1054896475376581,0.10604977171817502,0.2220901471332687,399,290.4060622836821,48431.11009367475,0.41797071090884613,0,1,88,25734.033715289483,1,0,0,0.09282717668314255,1.5,0.0,0.4,1
distressed,manufacturing,urban,3,49867.00034215418,28475.782033330106,0.42896541123492016,-0.03861594293493109,0.8396758290595014,211,236.33649451257904,114716.20092175007,2.3004431815558153,6,2,52,41872.11485500875,1,1,6,1.9316265356771565,6.0,5.038054974357008,0.6,1
growth,retail,urban,8,71135.72855877617,55699.99161981802,0.21698993250915133,0.46989577812970346,0.31406541587855685,669,106.33143282328277,77891.81814899165,1.0949746312731334,2,1,80,22341.27217363617,0,0,2,0.3438936629472661,2.5,0.6281308317571137,0.4,1
distressed,agriculture,urban,6,31197.477427969054,17307.698580742413,0.4452212163402104,-0.17107853176291704,0.48757980487786207,126,247.5990272061036,196177.25332594692,6.288240893158585,11,3,20,15211.259957010658,0,1,4,3.066019267711256,10.0,1.9503192195114483,0.8,1
stable,retail,urban,9,113586.19137929639,72413.05788714437,0.3624836169976269,0.04011703146315648,0.09654176163549376,646,175.8300176150099,20323.689092560224,0.17892746332777093,1,0,96,10965.811013223609,0,0,0,0.017273972514633213,0.5,0.0,0.4,0
seasonal,services,urban,6,75346.20085301143,37873.29411382256,0.49734301550641696,-0.19841683760313666,0.7496507556629989,315,239.1942884222585,69591.4059842885,0.9236219636349068,1,1,84,56483.33640579611,0,1,7,0.6923939029858508,2.0,5.247555289640992,0.3,1
distressed,retail,urban,2,23096.126139127566,16038.85869065319,0.3055606557551022,-0.08407163076633603,0.47819609383707495,345,66.9452931568915,183084.13829646396,7.927049635665862,6,2,52,11044.477302499165,0,1,4,3.7906841714280235,6.0,1.9127843753482998,0.4,1
stable,retail,urban,13,109892.24166725946,93962.39393581914,0.14495880227535976,0.1348891695022787,0.06523057867552046,688,159.72709544659804,41335.061658302235,0.3761417642517463,0,0,100,7168.334515905475,0,0,2,0.024535944946172603,0.0,0.1304611573510409,0.4,0
